strategy,rebalance_id,execution_date,signal_date,signal_type,target_etf_weight_pct,target_cash_weight_pct,approx_target_exposure_pct,action,etf_close,account_value_before,etf_value_before,cash_before,etf_weight_before_pct,trade_amount,buy_amount,sell_amount,commission,transaction_tax,total_cost,etf_value_after,cash_after,account_value_after,etf_weight_after_pct
macd_rebalance_50_50,26,2019-09-23,2019-09-20,golden_cross,50.0,50.0,100.0,sell,1.8531933607801885,1516039.9396145463,797058.4018001837,718981.5378143626,52.57502661854912,39065.75849097501,0.0,39065.75849097501,15.58723763789903,39.06575849097501,54.65299612887404,757992.6433092087,757992.6433092087,1515985.2866184174,50.0
macd_rebalance_50_50,27,2020-02-03,2020-01-31,death_cross,50.0,50.0,100.0,sell,2.0856587800962307,1611068.2290649454,853075.5857557367,757992.6433092087,52.950928481213786,47574.74976072162,0.0,47574.74976072162,18.982325154527928,47.57474976072162,66.55707491524956,805500.8359950151,805500.835995015,1611001.67199003,50.000000000000014
macd_rebalance_50_50,28,2020-05-18,2020-05-15,golden_cross,50.0,50.0,100.0,buy,1.867123859115899,1526601.4511947378,721100.6151997228,805500.835995015,47.23568254408381,42191.6931548617,42191.6931548617,0.0,16.83448556878982,0.0,16.83448556878982,763292.3083545845,763292.3083545845,1526584.616709169,50.0
macd_rebalance_50_50,29,2020-10-05,2020-09-30,death_cross,50.0,50.0,100.0,sell,2.7730425027446035,1896930.016828597,1133637.7084740126,763292.3083545845,59.76170435477093,185302.31903187683,0.0,185302.31903187683,73.93562529371887,185.30231903187683,259.2379443255957,948335.3894421357,948335.3894421358,1896670.7788842716,49.99999999999999
macd_rebalance_50_50,30,2020-10-12,2020-10-08,golden_cross,50.0,50.0,100.0,sell,2.944997288777784,1955476.5161990863,1007141.1267569504,948335.3894421358,51.50361655656997,29423.45036093471,0.0,29423.45036093471,11.73995669401295,29.42345036093471,41.163407054947655,977717.6763960157,977717.6763960156,1955435.3527920311,50.000000000000014
macd_rebalance_50_50,31,2020-10-19,2020-10-16,death_cross,50.0,50.0,100.0,buy,2.940644070322115,1953990.1159323778,976272.4395363622,977717.6763960156,49.96301831703576,722.4742962045962,722.4742962045962,0.0,0.2882672441856339,0.0,0.2882672441856339,976994.9138325668,976994.9138325667,1953989.8276651334,50.000000000000014
macd_rebalance_50_50,32,2020-11-16,2020-11-13,golden_cross,50.0,50.0,100.0,sell,3.3215564974555867,2080543.5672628179,1103548.6534302512,976994.9138325667,53.04136240136946,63321.16295232739,0.0,63321.16295232739,25.26514401797863,63.32116295232739,88.58630697030603,1040227.4904779238,1040227.4904779238,2080454.9809558475,50.0
macd_rebalance_50_50,33,2021-05-17,2021-05-14,death_cross,50.0,50.0,100.0,sell,4.31410525116581,2391296.14835429,1351068.6578763663,1040227.4904779238,56.49942851311758,155529.37649808166,0.0,155529.37649808166,62.05622122273459,155.52937649808166,217.58559772081625,1195539.2813782846,1195539.2813782846,2391078.562756569,50.0
macd_rebalance_50_50,34,2021-12-06,2021-12-03,golden_cross,50.0,50.0,100.0,sell,5.96400028768979,2848302.995512919,1652763.7141346345,1195539.2813782846,58.02626043431193,228772.24256184697,0.0,228772.24256184697,91.28012478217696,228.77224256184698,320.05236734402393,1423991.4715727875,1423991.4715727875,2847982.943145575,50.0
macd_rebalance_50_50,35,2022-03-01,2022-02-25,death_cross,50.0,50.0,100.0,sell,6.153368445739567,2893197.3343331357,1469205.8627603482,1423991.4715727875,50.781391415148356,22623.020396547756,0.0,22623.020396547756,9.026585138222556,22.623020396547755,31.64960553477031,1446582.8423638004,1446582.8423638006,2893165.684727601,50.0
macd_rebalance_50_50,36,2022-08-22,2022-08-19,golden_cross,50.0,50.0,100.0,buy,4.742903745570206,2561582.4140334027,1114999.571669602,1446582.8423638006,43.52776493003604,165758.56651307995,165758.56651307995,0.0,66.1376680387189,0.0,66.1376680387189,1280758.138182682,1280758.138182682,2561516.276365364,50.0
macd_rebalance_50_50,37,2022-09-19,2022-09-16,death_cross,50.0,50.0,100.0,buy,4.200919910672005,2415160.7430156404,1134402.6048329582,1280758.138182682,46.97006640711251,73163.17062232287,73163.17062232287,0.0,29.192105078306827,0.0,29.192105078306827,1207565.7754552811,1207565.7754552807,2415131.550910562,50.000000000000014
macd_rebalance_50_50,38,2022-11-21,2022-11-18,golden_cross,50.0,50.0,100.0,sell,4.211803122875819,2418259.9596552644,1210694.184199984,1207565.7754552807,50.06468305304011,1565.2992992115549,0.0,1565.2992992115549,0.6245544203854104,1.5652992992115549,2.1898537195969654,1209128.8849007725,1209128.8849007725,2418257.769801545,50.0
macd_rebalance_50_50,39,2023-08-14,2023-08-11,death_cross,50.0,50.0,100.0,sell,5.578734309971368,2810677.817408234,1601548.9325074616,1209128.8849007725,56.9808792237978,196347.36878781175,0.0,196347.36878781175,78.34260014633689,196.34736878781175,274.6899689341486,1405201.5637196498,1405201.5637196503,2810403.1274393,49.99999999999999
macd_rebalance_50_50,40,2023-11-27,2023-11-24,golden_cross,50.0,50.0,100.0,sell,6.068478859142975,2933762.615108224,1528561.0513885738,1405201.5637196503,52.10241086026609,61722.919016313695,0.0,61722.919016313695,24.62744468750917,61.722919016313696,86.35036370382286,1466838.13237226,1466838.13237226,2933676.26474452,50.0
macd_rebalance_50_50,41,2024-08-05,2024-08-02,death_cross,50.0,50.0,100.0,sell,7.700960689714998,3328270.4711460387,1861432.3387737786,1466838.13237226,55.9279167637125,197435.20912954537,0.0,197435.20912954537,78.77664844268861,197.43520912954537,276.21185757223395,1663997.1296442333,1663997.1296442333,3327994.2592884665,50.0
macd_rebalance_50_50,42,2025-06-09,2025-06-06,golden_cross,50.0,50.0,100.0,sell,8.66739046482048,3536817.0849816278,1872819.9553373947,1663997.1296442333,52.9521292828499,104484.49975415888,0.0,104484.49975415888,41.6893154019094,104.48449975415889,146.1738151560683,1768335.455583236,1768335.455583236,3536670.911166472,50.0
macd_rebalance_50_50,43,2026-04-07,2026-04-02,death_cross,50.0,50.0,100.0,sell,20.64999961853028,5981382.811813508,4213047.356230272,1768335.455583236,70.43600934401503,1223211.5868285045,0.0,1223211.5868285045,488.0614231445733,1223.2115868285046,1711.273009973078,2989835.7694017673,2989835.7694017673,5979671.538803535,50.0
macd_rebalance_50_50,44,2026-04-13,2026-04-10,golden_cross,50.0,50.0,100.0,sell,23.6200008392334,6409686.843833216,3419851.0744314482,2989835.7694017673,53.354417427143105,215158.15564471396,0.0,215158.15564471396,85.84810410224088,215.15815564471396,301.0062597469548,3204692.9187867343,3204692.9187867343,6409385.837573469,50.0
macd_rebalance_50_50,45,2026-07-20,2026-07-17,death_cross,50.0,50.0,100.0,sell,32.060001373291016,7554500.527879659,4349807.609092925,3204692.9187867343,57.57902316692003,572958.1293645857,0.0,572958.1293645857,228.61029361646973,572.9581293645857,801.5684229810554,3776849.4797283392,3776849.479728339,7553698.9594566785,50.0
